"","id","first_name","height_feet","height_inches","last_name","position","weight_pounds","team.id","team.abbreviation","team.city","team.conference","team.division","team.full_name","team.name"
"946",1417,"Mehmet",NA,NA,"Okur","",NA,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons"
"947",1418,"Jared",NA,NA,"Jeffries","",NA,30,"WAS","Washington","East","Southeast","Washington Wizards","Wizards"
"948",1419,"Juan",NA,NA,"Dixon","",NA,30,"WAS","Washington","East","Southeast","Washington Wizards","Wizards"
"949",1420,"Nate",NA,NA,"Huffman","",NA,28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors"
"950",1421,"Chris",NA,NA,"Jefferies","",NA,28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors"
"951",1422,"Chris",NA,NA,"Wilcox","",NA,13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"952",1423,"Marko",NA,NA,"Jaric","",NA,13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"953",1424,"Qyntel",NA,NA,"Woods","",NA,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers"
"954",1425,"Jay",NA,NA,"Williams","G",NA,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls"
"955",1426,"Lonny",NA,NA,"Baxter","",NA,5,"CHI","Chicago","East","Central","Chicago Bulls","Bulls"
"956",1427,"J.R.",NA,NA,"Bremer","",NA,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics"
"957",1428,"Jiri",NA,NA,"Welsch","",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"958",1429,"Mike",NA,NA,"Dunleavy","",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"959",1430,"Nikoloz",NA,NA,"Tskitishvili","",NA,8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets"
"960",1431,"Junior",NA,NA,"Harrington","",NA,8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets"
"961",1432,"Igor",NA,NA,"Rakocevic","",NA,18,"MIN","Minnesota","West","Northwest","Minnesota Timberwolves","Timberwolves"
"962",1433,"Amar'e",NA,NA,"Stoudemire","",NA,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns"
"963",1434,"Casey",NA,NA,"Jacobsen","",NA,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns"
