"","id","first_name","last_name","team","PER","WS.48","BPM","VORP"
"266",1813,"Hamed","Haddadi","MEM",7.4,0.039,-5.3,-0.1
"267",1296,"Keyon","Dooling","MEM",11.2,0.128,-1.4,0
"268",1937,"Josh","Selby","MEM",0.1,-0.143,-12.4,-0.2
"269",1921,"Dexter","Pittman","MEM",-7.7,-0.239,-23.2,-0.1
"270",237,"LeBron","James","MIA",31.6,0.322,11.7,9.9
"271",1482,"Chris","Bosh","MIA",20,0.175,1.3,2.1
"272",461,"Dwyane","Wade","MIA",24,0.192,4.4,3.8
"273",1801,"Mario","Chalmers","MIA",13.3,0.12,0.4,1.3
"274",1036,"Ray","Allen","MIA",14.7,0.126,0.3,1.2
"275",1378,"Shane","Battier","MIA",10.7,0.119,1,1.4
"276",1933,"Norris","Cole","MIA",7.9,0.019,-4.9,-1.2
"277",203,"Udonis","Haslem","MIA",9.9,0.108,-3.2,-0.4
"278",1299,"Mike","Miller","MIA",13.5,0.137,1.5,0.8
"279",1149,"Rashard","Lewis","MIA",11.1,0.071,-2.5,-0.1
"280",1389,"Chris","Andersen","MIA",17.4,0.207,-0.2,0.3
"281",1774,"Joel","Anthony","MIA",10.4,0.1,-1.3,0.1
"282",1517,"James","Jones","MIA",8.1,0.054,-3,-0.1
"283",922,"Juwan","Howard","MIA",9.9,0.039,-9.3,-0.1
"284",2023,"Jarvis","Varnado","MIA",-4.1,-0.122,-13.5,-0.1
"285",1926,"Josh","Harrellson","MIA",8.5,0.002,-5.9,0
"286",1934,"Terrel","Harris","MIA",7.2,-0.04,-9.8,-0.1
"287",1921,"Dexter","Pittman","MIA",17,0.114,-11.3,0
"288",1635,"Monta","Ellis","MIL",16.2,0.071,0.6,2.1
"289",1860,"Brandon","Jennings","MIL",16.1,0.096,1.1,2.2
"290",225,"Ersan","İlyasova","MIL",18.3,0.159,2,2
"291",1429,"Mike","Dunleavy","MIL",13.6,0.109,0.4,1.2
"293",1894,"Larry","Sanders","MIL",18.7,0.149,1,1.5
"294",302,"Luc","Mbah a Moute","MIL",9.1,0.017,-4.1,-0.7
"295",453,"Ekpe","Udoh","MIL",12,0.098,-1.7,0.1
"296",1471,"Marquis","Daniels","MIL",9.2,0.023,-2.9,-0.2
"297",205,"John","Henson","MIL",18.2,0.109,-1.7,0.1
"298",389,"J.J.","Redick","MIL",11.9,0.078,-2,0
"299",1393,"Samuel","Dalembert","MIL",18.6,0.137,-0.6,0.3
"300",1551,"Beno","Udrih","MIL",13.6,0.07,-1.4,0.1
"301",200,"Tobias","Harris","MIL",13,0.08,-2.1,0
"302",2010,"Doron","Lamb","MIL",3,-0.076,-8.9,-0.5
"303",1952,"Gustavo","Ayón","MIL",16.6,0.132,-0.5,0.1
"304",1441,"Drew","Gooden","MIL",7.7,-0.034,-6.7,-0.2
"305",422,"Ish","Smith","MIL",12.1,0.049,-1.2,0
"306",1286,"Joel","Przybilla","MIL",3.3,-0.005,-7.3,-0.1
"307",1500,"Luke","Ridnour","MIN",13,0.084,-0.8,0.8
"308",1352,"Andrei","Kirilenko","MIN",17.6,0.142,3.5,2.9
"309",113,"Dante","Cunningham","MIN",13.3,0.084,-1.4,0.3
"310",1882,"Nikola","Peković","MIN",20.2,0.163,0.5,1.2
"311",1941,"Derrick","Williams","MIN",14.5,0.076,-1.5,0.2
"312",2006,"Alexey","Shved","MIN",11,0.02,-1.7,0.1
"313",29,"J.J.","Barea","MIN",14.1,0.053,-0.6,0.6
"314",404,"Ricky","Rubio","MIN",16.2,0.085,1.1,1.3
"315",1925,"Greg","Stiemsma","MIN",10.5,0.069,-2.8,-0.3
"316",1691,"Mickaël","Gelabale","MIN",11.8,0.114,-0.2,0.3
"317",285,"Kevin","Love","MIN",17.9,0.084,0.4,0.4
"318",1840,"Chase","Budinger","MIN",12.6,0.066,-1.4,0.1
"319",1942,"Malcolm","Lee","MIN",9.8,0.059,-1.3,0
"320",1916,"Chris","Johnson","MIN",18.4,0.176,1.6,0.3
"322",1470,"Josh","Howard","MIN",9.5,0.009,-3.8,-0.1
"323",1735,"Lou","Amundson","MIN",6.3,-0.038,-7.9,-0.2
"324",1689,"Brandon","Roy","MIN",8.3,-0.017,-4.2,-0.1
"325",1883,"Lazar","Hayward","MIN",11.2,0.087,-1.9,0
"326",1733,"Will","Conroy","MIN",-15.2,-0.433,-24.9,-0.1
"327",1905,"Greivis","Vásquez","NOH",16.3,0.067,-0.4,1.1
"328",13,"Ryan","Anderson","NOH",18.1,0.125,2,2.5
"329",284,"Robin","Lopez","NOH",18.9,0.126,0.6,1.4
"330",10,"Al-Farouq","Aminu","NOH",13.7,0.073,-0.1,1
"331",117,"Anthony","Davis","NOH",21.7,0.159,2.5,2.1
"332",393,"Austin","Rivers","NOH",5.9,-0.038,-6.2,-1.5
"333",1993,"Brian","Roberts","NOH",14.6,0.078,-0.6,0.5
"334",178,"Eric","Gordon","NOH",15.4,0.042,-1.3,0.2
"335",1466,"Roger","Mason","NOH",10,0.057,-1.9,0.1
"336",423,"Jason","Smith","NOH",16.8,0.095,-1.6,0.1
"337",317,"Darius","Miller","NOH",6.3,0.034,-2.7,-0.1
"338",442,"Lance","Thomas","NOH",10.1,0.087,-3,-0.2
"339",1893,"Xavier","Henry","NOH",7.6,0.002,-5.7,-0.6
"340",1735,"Lou","Amundson","NOH",11.7,0.065,-1.1,0
"341",1747,"Dominic","McGuire","NOH",9.1,0.043,-0.6,0
"342",1934,"Terrel","Harris","NOH",-6.8,-0.267,-13.3,-0.3
"343",1607,"Hakim","Warrick","NOH",28.8,0.353,14,0
"344",1960,"Donald","Sloan","NOH",-3.3,-0.212,-9.4,0
"345",2027,"Henry","Sims","NOH",29.2,0.061,-1.2,0
"346",424,"J.R.","Smith","NYK",17.6,0.12,1.3,2.2
"347",17,"Carmelo","Anthony","NYK",24.8,0.184,4.3,3.9
"348",155,"Raymond","Felton","NYK",15.2,0.087,0.1,1.2
"349",94,"Tyson","Chandler","NYK",18.9,0.207,1.3,1.8
"350",908,"Jason","Kidd","NYK",13.5,0.128,3.3,2.7
"351",1686,"Steve","Novak","NYK",11.3,0.116,0.1,0.9
"352",2008,"Pablo","Prigioni","NYK",13,0.123,0.1,0.7
"353",415,"Iman","Shumpert","NYK",11.7,0.094,-0.1,0.5
"354",2009,"Chris","Copeland","NYK",16.8,0.117,-0.5,0.3
"355",1688,"Ronnie","Brewer","NYK",10.2,0.057,-0.8,0.2
"356",1433,"Amar'e","Stoudemire","NYK",22.1,0.191,0.7,0.5
"357",1725,"James","White","NYK",9.1,0.051,-3.1,-0.1
"358",1281,"Kenyon","Martin","NYK",13.9,0.128,-1.1,0.1
"359",978,"Kurt","Thomas","NYK",13.3,0.135,-0.1,0.2
"360",948,"Rasheed","Wallace","NYK",16.7,0.101,-1,0.1
"361",1016,"Marcus","Camby","NYK",8.6,0.007,-3.6,-0.1
"362",1603,"Earl","Barron","NYK",15.4,0.069,-4.9,0
"363",1297,"Quentin","Richardson","NYK",0.7,-0.181,-14.9,-0.1
"364",1695,"Solomon","Jones","NYK",-5.7,-0.172,-10.9,-0.1
"365",140,"Kevin","Durant","OKC",28.3,0.291,9.3,8.9
"366",472,"Russell","Westbrook","OKC",23.9,0.195,4.4,4.6
"367",223,"Serge","Ibaka","OKC",19.4,0.181,1.5,2.2
"368",411,"Thabo","Sefolosha","OKC",12.8,0.146,2.4,2.5
"369",1530,"Kevin","Martin","OKC",16,0.157,1,1.6
"370",1513,"Kendrick","Perkins","OKC",8.2,0.062,-1.8,0.1
"371",1536,"Nick","Collison","OKC",13.6,0.158,0.9,1.2
"372",236,"Reggie","Jackson","OKC",14.2,0.121,0.1,0.5
"373",1854,"Hasheem","Thabeet","OKC",11.6,0.134,-1.5,0.1
"374",1848,"Eric","Maynor","OKC",7.5,-0.003,-5,-0.3
"375",1041,"Derek","Fisher","OKC",7,0.046,-3.2,-0.1
"376",1966,"DeAndre","Liggins","OKC",9.4,0.092,-0.7,0.1
"377",2005,"Perry","Jones","OKC",7.8,-0.003,-7.3,-0.4
"378",267,"Jeremy","Lamb","OKC",11.2,0.058,-5.4,-0.1
"379",1688,"Ronnie","Brewer","OKC",9.1,0.072,-0.6,0.1
"380",1951,"Daniel","Orton","OKC",14,0.135,-3.1,0
"381",460,"Nikola","Vučević","ORL",17.8,0.106,-0.5,0.9
"382",1757,"Arron","Afflalo","ORL",13,0.042,-2.9,-0.5
"383",1533,"Jameer","Nelson","ORL",14.4,0.05,-1.2,0.4
"384",193,"Maurice","Harkless","ORL",12.5,0.059,-1.3,0.4
"385",326,"E'Twaun","Moore","ORL",10.7,0.006,-2.3,-0.1
"386",389,"J.J.","Redick","ORL",16.1,0.097,0.4,0.9
