"","last_name","first_name","team","PER","WS.48","BPM","VORP"
"207","Young","Sam","IND",7.5,0.062,-2.7,-0.1
"208","Johnson","Orlando","IND",11.4,0.115,0.2,0.3
"209","Ayres","Jeff","IND",14.5,0.129,-1,0.1
"210","Hansbrough","Ben","IND",7.2,0.044,-4.2,-0.1
"211","Granger","Danny","IND",4,-0.075,-8.7,-0.1
"212","Plumlee","Miles","IND",8.8,-0.015,-7.8,-0.1
"213","McGuire","Dominic","IND",-6,-0.239,-14.2,0
"214","Griffin","Blake","LAC",22.4,0.196,4.1,4
"215","Paul","Chris","LAC",26.4,0.287,8.8,6.4
"216","Crawford","Jamal","LAC",16.8,0.116,1,1.7
"217","Barnes","Matt","LAC",15.5,0.146,1.8,2
"218","Jordan","DeAndre","LAC",17.2,0.148,-0.2,0.9
"219","Butler","Caron","LAC",12.4,0.091,-1.3,0.3
"220","Odom","Lamar","LAC",10.9,0.081,-0.7,0.6
"221","Bledsoe","Eric","LAC",17.5,0.115,3.5,2.2
"222","Green","Willie","LAC",11.8,0.103,-0.8,0.3
"223","Turiaf","Ronny","LAC",9.4,0.075,-1.7,0.1
"224","Hollins","Ryan","LAC",11.3,0.125,-3.9,-0.3
"225","Hill","Grant","LAC",4.8,-0.014,-5.6,-0.4
"226","Billups","Chauncey","LAC",15,0.146,0.5,0.3
"227","Wayns","Maalik","LAC",19.5,0.227,0.9,0
"228","Summers","DaJuan","LAC",4.3,-0.124,-8.9,0
"229","Bryant","Kobe","LAL",23,0.174,4.6,5
"230","Howard","Dwight","LAL",19.4,0.134,0.6,1.8
"231","World","Metta","LAL",12.5,0.086,0.4,1.5
"232","Meeks","Jodie","LAL",11.4,0.085,-1,0.4
"233","Gasol","Pau","LAL",16.7,0.107,2,1.7
"234","Jamison","Antawn","LAL",15.3,0.126,-0.1,0.8
"235","Nash","Steve","LAL",16,0.127,0.4,1
"236","Clark","Earl","LAL",12.4,0.08,-0.7,0.4
"237","Blake","Steve","LAL",11.7,0.097,0.5,0.7
"238","Duhon","Chris","LAL",8,0.056,-2.9,-0.2
"239","Morris","Darius","LAL",8.1,0.016,-4.2,-0.4
"240","Hill","Jordan","LAL",18.5,0.147,-1.6,0
"241","Sacre","Robert","LAL",3.4,-0.024,-8.8,-0.4
"242","Ebanks","Devin","LAL",6.3,-0.025,-7.7,-0.3
"243","Goudelock","Andrew","LAL",-6.4,-0.264,-15.9,0
"244","Johnson-Odom","Darius","LAL",-6.7,-0.439,-21,0
"245","Gasol","Marc","MEM",19.5,0.197,5.2,5.1
"246","Conley","Mike","MEM",18.3,0.172,4.6,4.6
"247","Randolph","Zach","MEM",17.9,0.145,0.2,1.5
"248","Allen","Tony","MEM",13.2,0.115,0.4,1.2
"249","Bayless","Jerryd","MEM",13.5,0.108,0.1,1
"250","Gay","Rudy","MEM",14.1,0.075,0.5,0.9
"251","Pondexter","Quincy","MEM",11,0.125,-0.1,0.6
"252","Prince","Tayshaun","MEM",10.2,0.075,-0.9,0.3
"253","Arthur","Darrell","MEM",11.8,0.084,-2.4,-0.1
"254","Ellington","Wayne","MEM",9.8,0.094,-0.6,0.2
"255","Speights","Marreese","MEM",16.1,0.116,-2.4,0
"256","Davis","Ed","MEM",17.2,0.183,-0.1,0.3
"257","Daye","Austin","MEM",13.3,0.127,1.1,0.3
"258","Wroten","Tony","MEM",9.3,0.017,-3.8,-0.1
"259","Johnson","Chris","MEM",10.7,0.112,0.5,0.1
"260","Leuer","Jon","MEM",17.2,0.198,1,0.1
"261","Haddadi","Hamed","MEM",7.4,0.039,-5.3,-0.1
"262","Dooling","Keyon","MEM",11.2,0.128,-1.4,0
"263","Selby","Josh","MEM",0.1,-0.143,-12.4,-0.2
